distinct_id,case when page = '指南详情页' then '1' when page = '图书详情页' then '2' when page = '文献详情页' then '3' end,item_nid,count(1)
u:2342482,1,12655,1
u:2002816,1,3256,1
u:1475958,1,22897,1
u:2238577,1,30611,1
u:2069223,1,18615,1
u:2354299,1,24561,2
u:2072086,2,3390,1
u:2205309,1,15725,1
u:872484,1,12749,1
u:2195925,3,2310579,1
u:2320458,1,25477,1
u:2089474,1,112,1
u:2321456,1,3336,1
u:2351950,2,5020,1
u:2266063,2,3460,1
u:2037736,1,3136,2
u:2290545,3,4043511,1
u:1488630,1,6436,1
u:695208,2,2576,1
u:218091,3,13215169,1
u:1130160,1,2466,1
u:2195046,2,3286,1
u:2146222,1,98,1
u:2348850,3,12531373,1
u:2112258,1,2030,1
u:2336403,2,5293,1
u:503038,1,16677,1
d:f413976c-7881-3dba-bcbd-b6bc572410ef,1,6576,1
u:2352632,1,29713,1
u:1176212,3,2859389,1
u:2178022,1,21605,1
u:2070900,3,12484057,1
u:2222195,3,5715519,1
u:2322907,1,11547,1
d:c60efe87-a805-3815-b0d0-f81186b24599,3,12459215,1
u:2173440,1,5150,1
u:2248405,3,5415569,1
u:2022850,2,6219,1
u:2218949,3,13578491,1
u:20006774,3,12459247,1
u:1453312,1,30069,1
u:2143158,1,1782,1
u:2349553,1,15737,2
u:2347356,1,5444,1
u:2330612,1,1626,5
u:2073884,3,3380369,1
u:2350573,1,212,4
d:03d667f7-703d-3ea5-920b-69712e4ee72f,2,3570,1
d:a479e43c6ec9a641f874c5749c0d932bfae99681,1,11883,1
u:2189410,1,17461,1
u:2355617,1,26945,1
u:2133546,1,8793,1
u:2203218,3,2496959,1
u:726918,1,26277,1
u:2291486,3,3370769,1
u:2057412,2,10,1
u:519902,1,73,1
d:126295c3-5c5d-3061-94ca-5473bd02b5a2,1,18945,2
d:5ce5f554-eae3-38cf-b4e4-09d960c3bed9,3,14272667,1
u:2111412,3,14994495,1
u:2209422,3,1135157,2
u:2265727,1,2798,1
u:526276,3,12888011,1
u:685112,1,9859,1
u:2284305,1,1774,1
u:1196058,1,30611,1
u:409142,3,5225225,1
u:2347418,2,3464,1
u:1433640,2,3438,1
u:2342161,1,13871,1
u:2167398,3,3061027,1
u:2120697,3,13546905,1
u:2323843,1,24123,1
d:9c48cd0e5e21e138f89b4487fb8dbeb94b087409,2,6299,1
u:2353967,1,8939,1
d:0c980604-3098-35cc-a389-774f4a6abf2d,1,357,1
u:20064574,1,25373,1
u:2026889,1,15789,2
u:1262328,3,2445659,1
u:2278654,3,14969689,1
u:523438,3,2654629,1
u:2146604,1,13587,1
u:2147532,1,11469,1
u:2091948,2,24,1
u:2352539,1,20517,4
u:2352728,3,14408235,2
d:3478df0b-9e8f-3c3e-9e26-dbd488822e1d,3,14974531,1
u:2348832,1,16975,1
d:9492cdff3233357875c0739fac57a978745764c8,3,14973119,1
u:2191559,3,13246869,1
u:530326,2,6199,1
u:2352787,1,11135,2
u:910216,1,9573,1
u:2106974,1,15305,2
u:1215008,3,5387399,1
u:2255223,3,14761641,1
u:843238,2,6323,1
u:748562,1,7198,2
u:2353939,1,10137,1
u:2273061,3,12556141,1
u:1467690,1,14411,1
d:d3fb57b5-55d9-3f2f-bfa5-d40df86b2ae5,2,3796,1
u:621796,1,16521,1
d:e5e7b36c-004c-3c1a-b8c1-cb85f371423b,1,30611,1
u:203279,3,4596411,1
u:1455632,1,17461,2
u:2355656,1,11951,1
u:2261324,2,6173,2
u:2242204,3,5333529,1
u:1481266,3,14973115,1
u:2336001,2,5341,1
u:2170442,1,25297,1
u:20031814,2,3286,1
u:860684,1,25339,1
u:773088,3,14759537,1
u:645440,1,18307,1
u:809540,1,457,1
u:2043519,3,13330621,1
u:2185101,3,12557721,2
u:2331775,3,2568223,1
u:764546,1,28895,1
d:a1c197c5-6eb8-3eff-bed3-2c54cd7fd108,1,131,1
u:892492,1,19655,1
u:2280509,3,14998595,1
u:2059578,3,12668585,1
u:1083034,1,5626,1
u:514244,3,12796685,1
u:803308,3,12867861,2
d:eb85ec5f8eb3ecb2a4950e3ddf952244452e2e1a,1,26677,1
u:2333607,3,2990659,1
u:34183,1,30369,2
u:2309666,1,24137,1
u:128975,1,224,1
u:2350412,1,255,1
u:2240265,1,1626,1
d:8fe9e42b-4cd1-34c8-87aa-9384e98e58f9,1,8508,1
u:2314057,1,15737,1
u:673122,1,5050,1
u:2308263,1,11883,1
u:1064410,1,19177,1
u:1180744,1,9097,1
u:2007614,1,860,1
u:2353881,3,14951407,1
d:b0916e5b-e783-3658-83f8-99db02c2277c,3,12459279,1
u:20025832,3,12739291,1
u:20040496,1,1820,1
u:224079,1,24261,2
u:2077396,1,19655,1
u:2030085,1,15009,2
u:2354095,1,23503,1
u:234735,3,12874413,1
u:2338240,1,8332,1
u:345849,1,28145,1
u:2325545,2,5090,1
u:2183338,1,30325,1
u:2288708,1,7156,1
u:2038205,2,6311,1
u:2114809,3,5246231,1
u:2235541,2,24,2
u:2314115,3,13870581,1
u:1362798,1,13965,1
u:2342462,2,3310,2
u:2263255,2,8,1
d:a1f835ec-dce6-39af-ab00-edfccb2f91dc,1,13083,1
u:1403782,3,1104227,1
u:1270330,1,30993,1
u:2001539,1,13793,1
