distinct_id,case when page = 'discuss_detail' then '4' when page = 'group' then '5' end,item_nid,count(1)
d:5d989aac-37d2-37b7-82a2-975c0510adef,4,34efca90-b747-4dc9-84f8-48b4b735c521,1
u:265371,4,0a610f3c-f4e8-4124-85b7-6d4341719a03,1
u:1334334,5,2f3fdecb-ba44-4057-9803-fa963c35162e,4
u:2323775,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:47068,5,79915e31-7859-4122-8253-b491e7891c8e,7
u:501732,4,be673b1d-5ca3-45c4-b7a5-1de584a80ece,1
u:2189527,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2255555,4,8f921995-cbec-4039-8b18-93ac66413151,1
d:0efd998d-80ec-3798-8c71-c6d36a4ab445,4,fe9a43d9-a9d8-4209-b8b6-a609c81a74ff,2
d:40c99ffb-7ac1-3159-98c2-77a1a5fde438,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2229854,4,adf4a154-2e49-44a0-8125-c27e1d5d5b93,1
u:2346615,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2306661,4,024bb2e6-678e-4ff8-b893-28d47232855b,3
u:2264333,5,79915e31-7859-4122-8253-b491e7891c8e,5
u:1049598,4,32bf634d-5d68-4ebf-ac2d-e9696f1c4a0e,1
u:2252730,4,4d6d7180-209c-4ca6-b7e8-e3b65d39edc0,1
d:e193f16f-dcc9-3486-ad38-03397287def2,5,c6edca31-909c-449e-a07a-54496a67e1a2,2
d:5d989aac-37d2-37b7-82a2-975c0510adef,4,0189d598-c1c0-4d9c-9848-a066856c04d5,1
u:504124,4,3012f506-1c7f-4506-beec-b061a141781b,1
u:2226473,4,e18880e6-6c01-41e0-83a2-756688580484,1
u:2090050,4,8146ef14-0770-45fe-9d91-3211696c6830,1
u:839304,5,5ca6cfe7-2222-4158-808b-fcc87bf4a4f8,7
u:2039827,5,3fd4262f-be62-4880-ba84-55530fc7259a,2
d:cc6f53c1-3048-3ba9-819a-c2446f188ae8,4,75774022-f9a1-4b96-a07d-01d99c798faa,1
u:122261,4,26df055e-8871-43fe-a98e-07785cd3e8c2,1
u:2049142,4,0cf0eb59-1604-4ae1-8f47-78b2000fd36d,1
u:2305998,4,44e027c2-e1b5-4805-ae59-6fb74a66c1bf,1
u:2242837,5,05c6ed35-e1dc-4eb1-adcf-f94016d056ac,3
u:91532,4,d5e2d804-5bec-451c-ab5d-3256a277abef,1
d:2da59184-2455-3a39-9617-a4f1b59cab73,4,494cafe4-3156-4ce7-a10f-b8d93427640c,1
u:227955,4,7c1746f3-8a85-421c-8de7-bdea5280892b,1
u:2145854,4,7c1746f3-8a85-421c-8de7-bdea5280892b,1
u:2196491,4,07b9d9a6-5e82-4217-9a09-a93872f95cf5,1
d:4524edb55b2e8dc4310942e6c69d43130b68c328,4,3ea5b70a-c6e7-4d34-a7d6-8d75e859fca6,1
u:2296591,4,5a0f28d6-bbfb-491d-b7c6-0da17063da58,1
u:2354149,4,55cb3231-c9ce-40a7-bd14-2097976e31b2,1
u:2112537,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
u:2273484,5,0df9a719-f79f-49d6-8cf8-d271c6201bce,2
d:7953d3e63c7737430054b6b70fb2d60630c8536f,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
d:d19affd8-d58c-34b4-adac-ff2a7ac3bd59,4,0ab6659c-3188-4694-8014-bb07d1bd6b33,1
u:2346259,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
u:2149485,4,44e027c2-e1b5-4805-ae59-6fb74a66c1bf,1
u:704552,4,f83d13a4-2294-4644-9b8d-e3dda323405b,1
d:4b48cd5e-c218-3f91-b02a-d52c4f92a722,4,4bba24db-5f45-435b-92bc-c55c655ce3db,1
d:aeb15a9e-c873-3314-a8b3-71c96a137ba6,4,77c71c80-8eda-4393-ac81-c50afa45e12b,1
u:2355080,4,761ff57f-3cfa-49df-9aae-24ecd03d3efb,1
u:2048107,5,c6edca31-909c-449e-a07a-54496a67e1a2,4
u:576756,4,07b9d9a6-5e82-4217-9a09-a93872f95cf5,1
u:2252633,4,9e308a56-b8e6-41ee-8f31-8b6d4a432394,1
u:807434,4,8f921995-cbec-4039-8b18-93ac66413151,1
d:e4bc4e4c-ebe6-3b75-a0a0-97e1cbc22b24,4,abc013ec-7556-4c76-acf2-adf16b5db506,1
u:2096559,5,f86b39d4-3526-11e5-92d3-3c07542d4811,8
u:20031712,4,5fa2eb85-173d-4955-a58f-8e4e2c0a096d,1
u:135729,4,cb06251b-bb38-45a0-a907-f4f6915235e2,1
d:27213a66208f575eb4f97585a72254659c8f7b36,4,eabee864-e756-4f0e-b100-55475fefa6e8,1
d:720f4eb2-2d7b-388d-9102-be876c7343c9,4,abbe8899-57bc-41ac-affa-78cf687922b0,1
u:222547,4,e652274b-aeb0-449f-9b0f-d256777f8a68,1
u:826036,4,01ce9733-1a9b-46fa-bfba-13d9888e88bf,1
u:1401256,4,54aa0fe5-b6e0-4ede-a38d-1c8da60bb907,1
d:b858ab65-99fa-3bc5-8c8a-b581201e6121,4,0dae7261-8250-432d-8c3f-8c5eb047f461,1
u:2313683,4,2abdf47e-837f-433f-98e7-da1c5f771a9f,1
d:46e88291-91c9-395d-aa89-8777b4bcc10b,4,7ac4f314-0560-42b4-b7d9-044ed6d6c49a,1
d:2d50c3d2-950c-3c08-af90-20762e1b7449,4,c2403cd5-ef9c-4748-82f8-0e3c7250053c,1
u:2225016,4,d8410e3c-413a-433f-af67-16dcc5a58649,1
u:2284553,4,4af6f9b7-6e11-456c-be40-1e00403df51e,1
u:1438080,4,2cafa76a-5446-4aa2-90b3-187e56fdbdbb,1
d:a44514f525dc5f1d8a1702983d3261fc613e484f,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
d:f31fbf98-04b0-3e61-bebd-873b901a50ae,5,05c6ed35-e1dc-4eb1-adcf-f94016d056ac,9
u:2122700,4,7be79107-70f5-47dd-8229-9c3a2132a7ee,1
u:2107403,5,c6edca31-909c-449e-a07a-54496a67e1a2,3
u:487248,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2187722,4,81641cbc-2795-4144-9a5b-ccb5b1b85b48,2
u:2226913,4,a97180cb-4825-4513-978f-fd14f3f78485,1
d:8621485a-379d-31b0-8d63-63508fb93885,4,c1f71aa6-f068-49e5-a4dd-43c129e5526a,1
u:432558,4,91acc129-5799-4918-8f76-7e143ddb52fb,1
u:2351727,4,417b7c1b-2063-4775-b9df-42444aa8c175,1
u:2272507,4,b4e933a5-f61b-48f2-acaf-3c5f606fb887,1
u:2354578,4,26f0fad5-5d30-4154-b613-1998f002f851,1
u:1246108,4,0254b814-28f9-4968-be5b-0feeb41d57a8,1
u:2036226,4,443a0a67-b788-499f-8d63-4cc5b7295740,1
u:2134028,4,d080fe5c-c02b-4185-91bd-f0fa77fd92ca,1
u:2158332,4,ab881695-bf57-43c3-afba-94570619b271,1
u:599834,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
d:f7f62bc5-33f0-3292-bb49-45f4e6e0ae22,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2179942,4,13a3c4d7-250b-4351-b858-ddb2e4aa8082,2
u:2065655,4,d1d0a06e-8f65-4fa7-9248-de1be2e90d9d,1
u:2346201,4,67b27609-1318-4b5f-8d4b-42f462c0b1f5,1
u:2355080,4,0358f6c8-3c24-423d-a854-452c6f6c6e3c,1
u:2352903,5,f86b39d4-3526-11e5-92d3-3c07542d4811,6
u:2009256,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2341540,4,21a5d554-81ac-4a69-9c70-41d2fc650929,1
u:2314161,5,6f8b1fe6-27b5-4f34-a0a2-0f09f2e5d6e0,33
u:2341261,4,cfd24a25-4f57-48fe-a701-9f96c7290205,2
d:33fe6d8fadc84a9ccc212337e44219050e6dbacc,4,8f921995-cbec-4039-8b18-93ac66413151,1
d:693b4f6e-fffd-31a5-a100-33385790a61b,5,f86b39d4-3526-11e5-92d3-3c07542d4811,2
u:1159356,5,36616d54-b2de-43a6-94b9-1e6ad629a059,2
u:2314164,4,f3b128f8-358c-4ace-a54f-e04f2179ebcc,1
u:1273570,4,72e16c11-6a9b-43b0-9164-697f33587dfd,1
u:2020423,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2277081,5,4ed5c498-29d5-470d-b29e-0f05c14c1fcb,2
u:1074010,4,910c7ee1-41a6-4175-abbf-c2fb0df13455,1
u:2194757,4,184d8681-67f2-439a-ba88-9e2caeabb284,1
u:2348700,4,047c76e0-f7a0-4960-89e9-3ceeeebd83d6,1
u:2354966,4,70d150c0-eb3c-43b7-9c6d-3e7cf20aaf47,1
u:759374,5,8a4571a1-c68f-4f4c-87c6-b5346d9aaafa,4
u:2352994,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2088985,4,404945b1-2c2d-480f-b0b9-672ff060db4a,1
u:2130771,4,b8fef8ec-fc58-48d3-a18d-1f57cb85c20d,1
d:421a88b0-a15a-3b14-9103-fdb3fce89f2b,4,ca3c5db2-3c4e-469a-90b1-6550b68fad7d,1
u:2233883,4,d950fd91-09db-4702-af6a-92897d725195,1
u:2349467,4,c0d0c8b6-dee6-4d52-9566-fe3d2b01b2d9,1
d:a479e43c6ec9a641f874c5749c0d932bfae99681,4,d250e4be-cf83-4cc4-b60c-76bb26111300,1
u:2070438,4,145bff30-9e5c-4c14-bbfe-63108f174e25,1
u:2110153,4,59c4eee6-9a3b-11e5-bc81-00ff63160e11,1
u:2355080,5,79915e31-7859-4122-8253-b491e7891c8e,7
u:2165410,4,704b25c1-0d55-4ed7-94dd-934c5e4969cb,1
u:121639,4,5b4b6163-b0e3-4b06-85be-5b55487a1372,1
d:e5e7b36c-004c-3c1a-b8c1-cb85f371423b,5,c6edca31-909c-449e-a07a-54496a67e1a2,2
d:2d50c3d2-950c-3c08-af90-20762e1b7449,4,6fa33be8-a6a4-4def-85cc-4f459b32695f,1
u:2353202,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2351148,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:1073196,4,bf148e0b-39b2-4083-a6f0-493524ba3b93,2
u:942270,4,73631d4f-6d8b-4665-aa4d-38a61b2aea7c,1
d:099ce14c4f335f0e4e7994c8c21d0aca97553bf4,5,c6edca31-909c-449e-a07a-54496a67e1a2,7
u:2354740,5,79915e31-7859-4122-8253-b491e7891c8e,4
u:908290,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2226722,4,4244b6cd-c12c-4f85-8552-4faa11d33232,1
u:2198103,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2022282,4,ee382010-7371-430d-a6b6-bc2f13328074,1
u:1449194,4,f0aff270-34da-4945-ba75-1cc27bea366c,1
u:748128,5,270ebe8c-9044-4160-8c9d-0f38e77d234f,4
d:bc2f54ee5410c379ec8e9054631d293cab1bbe4e,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
u:2353870,4,8d4073db-a682-477f-b4da-b2907bad1274,1
u:2045447,4,7804da2d-8517-4627-8db2-f4a5fa320fed,1
d:14717db7-7282-32a0-84fb-1450655031ca,4,6be392f1-f025-4766-aa6c-e7b47b2a7bf0,1
d:40cfe68f-588c-30b6-a263-3dc519c1369a,4,313bf99c-070a-4319-a977-71d949bc62cb,1
u:2305174,4,3abce46b-322c-4953-b0aa-0e3a1e1b9df8,1
u:1099476,4,3fc5829f-a0b2-4d00-abc6-3befa47b83f2,1
u:2272013,4,6ada2057-3ebd-4171-b680-6794fc2aa418,1
u:894298,4,ac664c5a-bd26-4374-b06d-6059caf8bd9d,1
u:991670,4,2c175dbe-1db4-4f89-9030-425562a8d7ba,1
d:1c0b6388-0a8a-3a08-80b7-64a96305576c,4,694cce16-5dac-4c0b-97e3-557f03fa8f89,2
u:2042449,4,839095bc-08ca-4ad5-97b7-a77a218d1622,2
u:635784,4,28c61bfb-dca1-4712-9957-388a8ff90530,2
u:2160912,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
