distinct_id,case when page = 'discuss_detail' then '4' when page = 'group' then '5' end,item_nid,count(1)
u:222039,4,3714c274-74aa-418d-ab97-65af0e3bcd15,1
u:2263344,4,47edf8b2-f0e0-4eeb-93a4-8f3eed6b2ac7,1
u:2040271,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:2299036,4,55afaef1-768a-463b-872f-115a3fc1ff57,1
u:2272662,4,6230c612-4b12-4316-a035-2de74ee9a4e5,1
u:265371,4,0a610f3c-f4e8-4124-85b7-6d4341719a03,1
u:1044350,4,3fc5829f-a0b2-4d00-abc6-3befa47b83f2,1
u:258939,4,25293c0c-bbe4-45b2-bdd0-a70e11fa4699,1
u:2360347,5,35f58ead-b897-4a3b-abc9-3a6763e4cbd0,3
d:5d989aac-37d2-37b7-82a2-975c0510adef,4,34efca90-b747-4dc9-84f8-48b4b735c521,1
u:2291611,4,3e9bcc3a-a066-4038-a5c8-084daacfa04c,1
d:1da6fd6274d7841cd6709dd2a99d8cbf9ea4acff,4,7274f2b9-e404-4e39-81a9-72c01abf4e1d,1
u:650704,4,ef7c3eac-f57c-49a3-9950-56006236b2be,1
u:2163452,4,a3ce49f6-861c-4d52-a2f5-02702bfdcea4,1
u:2221712,4,b4962dec-1347-44d0-8b83-60807eef5ed5,1
u:2103623,4,ef7c3eac-f57c-49a3-9950-56006236b2be,1
u:2344532,4,8e7194db-2eca-476c-ac0c-40e1d97e7937,1
u:2115365,4,3714c274-74aa-418d-ab97-65af0e3bcd15,1
u:2267791,4,c010ed70-d1a5-4523-97f7-2a5a87962334,1
u:20007734,4,5213a045-1787-4901-b2c1-8508c5dfe222,1
u:2100915,4,3e2e2956-abcc-4fd1-90eb-ed36dccba2c6,1
u:2323775,4,8f921995-cbec-4039-8b18-93ac66413151,1
d:8d8faeda-d44c-3b59-9623-49c096b9646f,4,9ad6c81b-4728-4543-9e66-b3da58761958,1
u:2263580,5,c6edca31-909c-449e-a07a-54496a67e1a2,8
d:46d7a0f0d72c926e0dcf9aeffb5b601aa85810df,4,61baba65-b451-416f-9680-b5d8c8626d72,1
u:2338813,4,1c9d8671-f77c-47b1-af89-7d83854984de,1
d:b5c9ec3656f2d1951fd26a4efd2922b4eebd63e4,4,5544c0b6-2a58-412c-86ef-95c7f1e9258c,1
u:47068,5,79915e31-7859-4122-8253-b491e7891c8e,7
u:501732,4,be673b1d-5ca3-45c4-b7a5-1de584a80ece,1
u:114395,4,184d8681-67f2-439a-ba88-9e2caeabb284,1
u:2312827,4,18294944-10c6-4252-be53-dc29a8a83ef7,1
u:1358000,4,92646e40-e994-48e2-b20a-6f4ab8c1dcea,2
u:530028,4,07fa3a71-fe26-40d2-bdb0-d7febaa58a56,1
u:2189527,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:1170930,4,bb7025c5-7c0d-4ee5-a94c-501f60cbc3d2,1
u:2258967,4,3f629b06-2e4e-41c9-8296-5108913bcc46,1
u:759896,4,8e7194db-2eca-476c-ac0c-40e1d97e7937,1
u:2326720,4,9852e91e-31a2-4342-9caf-41c97e67afd5,1
d:f3ac0e611d7582bfe5234042e3069c03dbe5ff6c,5,05c6ed35-e1dc-4eb1-adcf-f94016d056ac,2
u:2119505,5,79915e31-7859-4122-8253-b491e7891c8e,3
u:2255555,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2318172,4,7c0384c6-27fd-45ef-b0e1-8f8a81cbe55c,1
u:446936,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
d:0efd998d-80ec-3798-8c71-c6d36a4ab445,4,fe9a43d9-a9d8-4209-b8b6-a609c81a74ff,2
d:40c99ffb-7ac1-3159-98c2-77a1a5fde438,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
u:2229854,4,adf4a154-2e49-44a0-8125-c27e1d5d5b93,1
u:2346615,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:2326377,4,4fe1b55f-7072-4f1e-8a20-dee7ac37b2d1,2
u:2339674,4,216e1612-bc89-4ed0-832a-1889f2111584,1
u:2370265,4,28dd7b51-ae42-46c4-adc9-fcf20f2c6fb6,1
u:1334334,5,2f3fdecb-ba44-4057-9803-fa963c35162e,4
u:2306661,4,024bb2e6-678e-4ff8-b893-28d47232855b,5
u:216613,4,5213a045-1787-4901-b2c1-8508c5dfe222,1
u:2066978,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:2264333,5,79915e31-7859-4122-8253-b491e7891c8e,5
u:2279924,4,0b053afe-3e53-446a-a2c3-ba8035775234,1
u:2193538,4,0c7ae53c-c05b-49a6-a154-6cd206460179,1
u:2252730,4,4d6d7180-209c-4ca6-b7e8-e3b65d39edc0,1
u:2353799,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:2171744,4,f9974b52-94b4-41fb-878b-75bab1cd60db,1
u:1049598,4,32bf634d-5d68-4ebf-ac2d-e9696f1c4a0e,1
u:2153506,4,55cb3231-c9ce-40a7-bd14-2097976e31b2,1
u:2342174,4,344bbb2f-3dda-47c1-ae2e-bff307a7b990,1
u:2288487,4,8315447f-8cca-4116-9c8b-68cdc536306a,1
u:2244779,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:2205453,4,59c33d67-9a3b-11e5-bc81-00ff63160e11,1
u:1419460,4,836e04ed-2a52-486f-85d4-f7fee9ab4e72,1
u:2217842,5,79915e31-7859-4122-8253-b491e7891c8e,6
d:5d989aac-37d2-37b7-82a2-975c0510adef,4,0189d598-c1c0-4d9c-9848-a066856c04d5,1
u:504124,4,3012f506-1c7f-4506-beec-b061a141781b,1
u:2226473,4,e18880e6-6c01-41e0-83a2-756688580484,1
u:2090050,4,8146ef14-0770-45fe-9d91-3211696c6830,1
u:412748,4,ae2157f1-f07e-428b-902b-e57d4c8e8934,1
u:118491,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:92458,4,2f4edac9-ea58-4441-89cc-19a9ff67b816,1
u:2360436,4,145a624a-be8c-47d4-87f4-9b9278db4000,1
